,PLS1,PLS2
7Networks_LH_Vis_1,-0.09954385482492518,0.002580673504445875
7Networks_LH_Vis_2,-0.09296258216751048,0.008370987744199608
7Networks_LH_Vis_3,-0.06481974612327418,0.03944832085755113
7Networks_LH_Vis_4,-0.11727937660581449,-0.021398951358177112
7Networks_LH_Vis_5,-0.09584528377470392,0.0036910869308419275
7Networks_LH_Vis_6,-0.05647950312981336,0.04480145392128097
7Networks_LH_Vis_7,-0.05311577144654242,0.049747014049037724
7Networks_LH_Vis_8,-0.12032643542695444,-0.02549607732917415
7Networks_LH_Vis_9,0.016131277328457736,0.11816072120816333
7Networks_LH_Vis_10,-0.09701367706789897,0.0029026244106207387
7Networks_LH_Vis_11,-0.06628324145687485,0.03351192304463812
7Networks_LH_Vis_12,-0.024808109646306507,0.07359601050749669
7Networks_LH_Vis_13,-0.08678810881779836,0.021543643825613173
7Networks_LH_Vis_14,-0.10266625291236467,0.0016495482531337614
7Networks_LH_SomMot_1,-0.09574806995345747,0.007346679630918196
7Networks_LH_SomMot_2,-0.0912949177297026,0.015031070542433281
7Networks_LH_SomMot_3,-0.10524490117321386,-0.001982699506525474
7Networks_LH_SomMot_4,-0.07571015338944885,0.036712254465688196
7Networks_LH_SomMot_5,-0.0795813110509883,0.031092936689135642
7Networks_LH_SomMot_6,-0.08107782273959489,0.026340520221893322
7Networks_LH_SomMot_7,0.031488390044804145,0.14328119035905115
7Networks_LH_SomMot_8,-0.05130228663739716,0.05840893861346453
7Networks_LH_SomMot_9,0.026248819311020872,0.13363483615598395
7Networks_LH_SomMot_10,-0.05362005413913265,0.05017339153230071
7Networks_LH_SomMot_11,-0.06801804409049259,0.04510940653016528
7Networks_LH_SomMot_12,-0.010145345597865734,0.09863225628370764
7Networks_LH_SomMot_13,-0.07903638583890747,0.023034567960356335
7Networks_LH_SomMot_14,-0.068957980066562,0.04212650156046886
7Networks_LH_SomMot_15,-0.09302137087276678,0.012930530019774147
7Networks_LH_SomMot_16,-0.09072635756541488,0.012618787250337693
7Networks_LH_DorsAttn_Post_1,0.04532992093938145,0.14790501538381357
7Networks_LH_DorsAttn_Post_2,-0.01776520907714307,0.08997300612142688
7Networks_LH_DorsAttn_Post_3,-0.06203567175370232,0.050663923802334074
7Networks_LH_DorsAttn_Post_4,-0.04408580620451246,0.0676296556695484
7Networks_LH_DorsAttn_Post_5,-0.09026765460795316,0.014346793926946126
7Networks_LH_DorsAttn_Post_6,-0.0996506987298429,0.006188006469125999
7Networks_LH_DorsAttn_Post_7,-0.063703547981685,0.05114132264125595
7Networks_LH_DorsAttn_Post_8,-0.021491384325619017,0.09350709694223293
7Networks_LH_DorsAttn_Post_9,-0.0840569474642403,0.021459778128187793
7Networks_LH_DorsAttn_Post_10,-0.07546063248826475,0.03113860051081902
7Networks_LH_DorsAttn_FEF_1,-0.0837392106734136,0.021397440347270796
7Networks_LH_DorsAttn_FEF_2,-0.09015024750241918,0.015370528628589182
7Networks_LH_DorsAttn_PrCv_1,-0.06501051031172286,0.046310081877960506
7Networks_LH_SalVentAttn_ParOper_1,-0.07693135755136427,0.03225650842246108
7Networks_LH_SalVentAttn_ParOper_2,-0.07364869908906704,0.036497631345792786
7Networks_LH_SalVentAttn_ParOper_3,0.07054202039421328,0.1698847779051966
7Networks_LH_SalVentAttn_FrOperIns_1,0.08216448694692982,0.1812381261524124
7Networks_LH_SalVentAttn_FrOperIns_2,0.035181111470709805,0.14823568933185086
7Networks_LH_SalVentAttn_FrOperIns_3,-0.0491120907815454,0.05553387663945365
7Networks_LH_SalVentAttn_FrOperIns_4,0.027413143537754182,0.1428725065328465
7Networks_LH_SalVentAttn_PFCl_1,0.01463755376451413,0.1326839448006696
7Networks_LH_SalVentAttn_Med_1,0.02488893556436691,0.1340606793267784
7Networks_LH_SalVentAttn_Med_2,-0.06502732206931162,0.03806810887332814
7Networks_LH_SalVentAttn_Med_3,-0.05265462546015986,0.05871064500344448
7Networks_LH_Limbic_OFC_1,0.020945875188271013,0.13812112150734188
7Networks_LH_Limbic_OFC_2,0.03506113915121952,0.1441387959477838
7Networks_LH_Limbic_TempPole_1,0.008725311371023203,0.12571408151849028
7Networks_LH_Limbic_TempPole_2,0.004209506829388522,0.12197882937534313
7Networks_LH_Limbic_TempPole_3,-0.07547600434973319,0.035187817754387375
7Networks_LH_Limbic_TempPole_4,-0.1070219332523677,-0.00653089751072923
7Networks_LH_Cont_Par_1,-0.10150833997461157,0.000712294592098257
7Networks_LH_Cont_Par_2,-0.0825299641730734,0.0187112078084005
7Networks_LH_Cont_Par_3,-0.09748111815785655,0.004595353653381171
7Networks_LH_Cont_Temp_1,-0.056220294428052625,0.058422773848663505
7Networks_LH_Cont_OFC_1,0.08131332335292699,0.18744900588394467
7Networks_LH_Cont_PFCl_1,0.05705103059567399,0.17013732645126556
7Networks_LH_Cont_PFCl_2,-0.043312055441430096,0.07127802221593915
7Networks_LH_Cont_PFCl_3,-0.0563227635111148,0.057798554220463656
7Networks_LH_Cont_PFCl_4,-0.0910269449058483,0.01521483620584418
7Networks_LH_Cont_PFCl_5,-0.0929132321491973,0.007711126400872806
7Networks_LH_Cont_pCun_1,0.013142451884991087,0.11286224675961484
7Networks_LH_Cont_Cing_1,-0.011796229972971941,0.09294324401676754
7Networks_LH_Cont_Cing_2,-0.0545839795920827,0.04684899184788975
7Networks_LH_Default_Temp_1,-0.07031210614511153,0.03525056527577804
7Networks_LH_Default_Temp_2,0.15085886832765177,0.22826366724834563
7Networks_LH_Default_Temp_3,0.006461217103474975,0.11483018960162593
7Networks_LH_Default_Temp_4,0.04714632173388254,0.1606749424391293
7Networks_LH_Default_Temp_5,-0.0747098107270417,0.035071997640646814
7Networks_LH_Default_Par_1,-0.00018265469652686603,0.11555927663602122
7Networks_LH_Default_Par_2,-0.0402474650331562,0.07047984998595329
7Networks_LH_Default_Par_3,-0.032403039905667584,0.07797203622830054
7Networks_LH_Default_Par_4,-0.05022764742555008,0.06268589085834995
7Networks_LH_Default_PFC_1,-0.0846311575125915,0.023269380543176864
